Column1;Column2
Was ist der Zweck des `print()`-Befehls in Python?;Der `print()`-Befehl gibt Werte oder Objekte auf der Konsole aus.
Wie weist man einer Variablen in Python einen Wert zu?;`variable_name = value`
Nenne die vier grundlegenden numerischen Datentypen in Python.;`int` (Ganzzahl), `float` (Gleitkommazahl), `complex` (komplexe Zahl), `bool` (Boolescher Wert: True/False).
Was ist der Datentyp für Text in Python?;`str` (String).
Wie deklariert man einen String in Python?;"Mit einfachen (`'...'`) oder doppelten Anführungszeichen (`""...""`)."
Was ist der Datentyp einer Liste in Python?;Eine geordnete, veränderliche Sammlung von Elementen, die verschiedene Datentypen enthalten kann.
Wie erstellt man eine leere Liste?;`my_list = []` oder `my_list = list()`
Wie greift man auf das erste Element einer Liste namens `data` zu?;`data[0]`
Wie greift man auf das letzte Element einer Liste namens `data` zu?;`data[-1]`
Wie fügt man ein Element am Ende einer Liste `my_list` hinzu?;`my_list.append(element)`
Wie entfernt man ein Element aus einer Liste `my_list` anhand seines Wertes?;`my_list.remove(value)`
Was ist der Datentyp eines Tupels in Python?;Eine geordnete, **unveränderliche** Sammlung von Elementen.
Wann würde man ein Tupel anstelle einer Liste verwenden?;Wenn die Sammlung von Elementen sich nicht ändern soll (z.B. als Dictionary-Schlüssel, oder wenn Datenintegrität wichtig ist).
Wie erstellt man ein Tupel?;`my_tuple = (1, 2, 3)` oder `my_tuple = 1, 2, 3`
Was ist der Datentyp eines Sets in Python?;Eine ungeordnete Sammlung von **eindeutigen** Elementen.
Wann wäre ein Set nützlich?;Um Duplikate zu entfernen oder für schnelle Überprüfungen der Mitgliedschaft (`in` Operator).
Wie erstellt man ein Set?;`my_set = {1, 2, 3}` oder `my_set = set([1, 2, 3])`
Was ist der Datentyp eines Dictionarys in Python?;Eine ungeordnete Sammlung von Schlüssel-Wert-Paaren.
Wie erstellt man ein leeres Dictionary?;`my_dict = {}` oder `my_dict = dict()`
Wie fügt man ein Schlüssel-Wert-Paar zu einem Dictionary `my_dict` hinzu?;`my_dict['key'] = value`
Wie greift man auf den Wert eines Schlüssels 'name' in `my_dict` zu?;`my_dict['name']`
Welchen Fehler erhält man, wenn man versucht, auf einen nicht existierenden Schlüssel in einem Dictionary zuzugreifen?;`KeyError`
